,User Id,Comment Id,Comment Text,Publish Date
55,2238743884,17892920774878422,There is not another stadium in the NFL that can hold a candle to Lambeau Field nor their Hall of Fame. I have been to Canton AND Lambeau and THERE IS Lambeau wins hands down!!,"12/22/2023, 9:20:26 PM"
56,35106399,17994923354204433,Let’s have lunch Sunday in Charlotte?!,"12/22/2023, 10:03:18 PM"
57,2034324444,18052042759480526,Looking good in Denim Simone 😍,"12/22/2023, 11:05:09 PM"
58,47961734712,18015556865006590,Pretty,"12/22/2023, 11:30:14 PM"
59,567494691,18003286394205239,@ when I saw this on TV I was very confused on why she was at the game… and I forgot she got married to him🤣,"12/23/2023, 12:03:42 AM"
60,3017663620,18047670088557228,The baby blue is beautiful on you @simonebiles !❤️,"12/21/2023, 6:44:04 PM"
61,4350884543,17907217919875054,Gorgeous 😍 😍 😍,"12/21/2023, 9:11:35 PM"
62,13569645933,18401469661038483,Gorgeous Goddess,"12/21/2023, 9:16:08 PM"
63,5596878525,17861899521063914,😍😍😍😍😍😍,"12/21/2023, 9:21:42 PM"
64,5897409749,17913893738850268,"Simone you are a queen, your husband looked insecure, jealous and immature. He talked about your relationship like you were a desperate nobody! You deserve better!","12/21/2023, 10:11:21 PM"
65,1223740259,18003992846336820,You are the prize don't listen to what your husband said! You could get anyone you wanted!,"12/21/2023, 10:32:58 PM"
66,12372737090,17861901207063768,Your boots are amazing!,"12/21/2023, 11:08:14 PM"
67,1939206467,17904016766911949,❤️🔥❤️🔥❤️..Remember haters going to Hate!,"12/22/2023, 12:01:27 AM"
68,10675588392,17893501253948847,Just Beautiful ❤️❤️,"12/22/2023, 12:27:55 AM"
69,859872789,17984407397376055,cutest bigg hug kisses ly god bless 💙,"12/22/2023, 3:46:22 AM"
70,429823399,17869094154026007,Beautiful lady,"12/22/2023, 8:55:44 AM"
71,2424237534,17908070390893146,🔥,"12/21/2023, 11:14:29 AM"
72,8166747443,18033014041668768,Beautiful ❤️,"12/21/2023, 11:34:39 AM"
73,328461946,17985005843354815,🔥🔥🔥,"12/21/2023, 12:43:52 PM"
74,29451956066,17984572361354829,"We need a game day outfit series, so gooooddd","12/21/2023, 1:03:11 PM"
75,6635311157,18053229253472034,Always 🔥🔥🔥🔥🔥 @simonebiles,"12/21/2023, 1:29:11 PM"
76,5467046255,18010350182290552,You look good in blue!,"12/21/2023, 2:19:42 PM"
77,7165727837,17999406497124627,Love the kicks 👢. True Texan🤠,"12/21/2023, 2:51:15 PM"
78,292372213,18036232678643335,🫶,"12/21/2023, 2:52:30 PM"
79,358519528,18412319896053040,"@kourt_lynn_93 you should reread your own words from your post from March 2020. “…be kind to yourself and other women. Support each other. Don’t tear each other down”

Practice what you preach boo 🫶","12/21/2023, 3:02:20 PM"
80,47844934631,18406467982002898,🔥🔥🔥,"12/21/2023, 3:31:19 PM"
81,41322955,17998916426345682,🔥🔥🔥🔥,"12/21/2023, 3:39:56 PM"
82,6063741863,18021647758765874,We love to see it. ❤️,"12/21/2023, 3:44:50 PM"
83,55492133212,18025178257730485,The outfit though!!! 😍🔥🩵,"12/21/2023, 6:21:11 PM"
