,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
59,59,567494691,18003286394205239,@ when I saw this on TV I was very confused on why she was at the game… and I forgot she got married to him🤣,2023-12-23,108.0,0.1548,Positive
60,60,3017663620,18047670088557228,The baby blue is beautiful on you @simonebiles !❤️,2023-12-21,50.0,0.636,Positive
61,61,4350884543,17907217919875054,Gorgeous 😍 😍 😍,2023-12-21,14.0,0.9186,Positive
62,62,13569645933,18401469661038483,Gorgeous Goddess,2023-12-21,16.0,0.6124,Positive
63,63,5596878525,17861899521063914,😍😍😍😍😍😍,2023-12-21,6.0,0.9517,Positive
64,64,5897409749,17913893738850268,"Simone you are a queen, your husband looked insecure, jealous and immature. He talked about your relationship like you were a desperate nobody! You deserve better!",2023-12-21,163.0,-0.508,Negative
65,65,1223740259,18003992846336820,You are the prize don't listen to what your husband said! You could get anyone you wanted!,2023-12-21,90.0,0.5972,Positive
66,66,12372737090,17861901207063768,Your boots are amazing!,2023-12-21,23.0,0.6239,Positive
67,67,1939206467,17904016766911949,❤️🔥❤️🔥❤️..Remember haters going to Hate!,2023-12-22,40.0,-0.8999,Negative
68,68,10675588392,17893501253948847,Just Beautiful ❤️❤️,2023-12-22,19.0,0.5994,Positive
69,69,859872789,17984407397376055,cutest bigg hug kisses ly god bless 💙,2023-12-22,37.0,0.9716,Positive
70,70,429823399,17869094154026007,Beautiful lady,2023-12-22,14.0,0.5994,Positive
71,71,2424237534,17908070390893146,🔥,2023-12-21,1.0,-0.34,Negative
72,72,8166747443,18033014041668768,Beautiful ❤️,2023-12-21,12.0,0.5994,Positive
73,73,328461946,17985005843354815,🔥🔥🔥,2023-12-21,3.0,-0.7351,Negative
74,74,29451956066,17984572361354829,"We need a game day outfit series, so gooooddd",2023-12-21,45.0,0.0,Neutral
75,75,6635311157,18053229253472034,Always 🔥🔥🔥🔥🔥 @simonebiles,2023-12-21,25.0,-0.875,Negative
76,76,5467046255,18010350182290552,You look good in blue!,2023-12-21,22.0,0.4926,Positive
77,77,7165727837,17999406497124627,Love the kicks 👢. True Texan🤠,2023-12-21,29.0,0.7906,Positive
78,78,292372213,18036232678643335,🫶,2023-12-21,1.0,0.0,Neutral
79,79,358519528,18412319896053040,"@kourt_lynn_93 you should reread your own words from your post from March 2020. “…be kind to yourself and other women. Support each other. Don’t tear each other down”

Practice what you preach boo 🫶",2023-12-21,198.0,0.7269,Positive
80,80,47844934631,18406467982002898,🔥🔥🔥,2023-12-21,3.0,-0.7351,Negative
81,81,41322955,17998916426345682,🔥🔥🔥🔥,2023-12-21,4.0,-0.8225,Negative
82,82,6063741863,18021647758765874,We love to see it. ❤️,2023-12-21,21.0,0.6369,Positive
83,83,55492133212,18025178257730485,The outfit though!!! 😍🔥🩵,2023-12-21,24.0,0.5962,Positive
84,84,3231340974,18011367304945883,Queen. Icon. G. O. A. T.,2023-12-21,24.0,0.0,Neutral
85,85,8314371569,17984677097555703,Love this ❤️🔥,2023-12-20,13.0,0.4215,Positive
86,86,50372671056,17959803419581706,🔥❤️🔥❤️btful btful,2023-12-21,17.0,-0.5859,Negative
87,87,4467892776,17975879969489874,This is hot,2023-12-21,11.0,0.0,Neutral
88,88,1453477566,18079045339389815,🔥🔥🔥🔥🔥,2023-12-21,5.0,-0.875,Negative
89,89,452750299,17991517505522932,🩵🩵🩵🩵🩵🩵,2023-12-21,6.0,0.0,Neutral
90,90,37800021551,17973396506643963,@jowens I'm so proud of you BOTH! Mr.Owens you and Mrs. Owens are the epic meaning of true beautiful black love. Continue to keep God first an ignore these miserable ignorant people. I'm wishing you and Mrs. Owens and your family a Very Blessed Holidays!,2023-12-21,254.0,0.9625,Positive
91,91,37800021551,18026637997692996,Omg what a beautiful couple Simone is Gorgeous ❤️😍 why anyone not covering this beautiful lady like they are doing taylor swift and Travis kelce?,2023-12-21,145.0,0.9629,Positive
92,92,37800021551,18099957463370975,@melissa_turner_kyahese exactly I'm wondering why they not covering her and Mr. Ownes  because I'm sick of Taylor swift and Travis I'm over it lol,2023-12-21,146.0,0.0772,Positive
93,93,37800021551,17925260027730456,She's dresses to the T you hear me just love it❤️,2023-12-21,49.0,0.6369,Positive
94,94,10875390091,17895991943864055,Cute,2023-12-21,4.0,0.4588,Positive
95,95,48398893234,17986728209578305,Beautiful!!,2023-12-21,11.0,0.6688,Positive
96,96,32902753106,17948456609732143,Girl... just cu...te!! ❤️,2023-12-21,25.0,0.0,Neutral
97,97,353447001,18169788325290116,Omg!!! The princess Leia Buns of the third picture are killing me!!😍😍😍 Absolutely beautiful Simone!!!!,2023-12-21,102.0,0.8739,Positive
